City,Account length,Area code,Phone number,International plan,Voicemail plan,No. vmail msgs,Total day minutes,Total day calls,Total day charge,Total eve minutes,Total eve calls,Total eve charge,Total night minutes,Total night calls,Total night charge,Total intl minutes,Total intl calls,Total int charge,Customer service calls,Churn
Sapporo,834,510,896-835-7326,No,No,24,200.62,110,34.11,396.17,27,39.62,223.23,64,11.16,5.15,1,0.77,5,True
Nagoya,264,408,707-246-7897,Yes,Yes,5,53.77,191,9.14,187.82,185,18.78,32.69,62,1.63,8.52,14,1.28,5,True
Osaka,35,408,998-538-8077,Yes,Yes,24,362.11,19,61.56,389.33,100,38.93,353.09,147,17.65,15.37,8,2.31,5,True
Nagoya,601,415,949-121-1130,No,Yes,3,273.22,99,46.45,225.35,147,22.54,2.04,146,0.1,15.22,13,2.28,6,False
Nagoya,800,408,401-821-1289,Yes,Yes,36,287.57,148,48.89,63.93,139,6.39,60.88,110,3.04,18.87,0,2.83,1,False
Saitama,796,415,456-485-8725,Yes,No,44,334.2,106,56.81,57.31,17,5.73,307.08,164,15.35,8.31,4,1.25,3,False
Yokohama,403,510,848-675-6131,No,Yes,40,331.73,82,56.39,381.17,15,38.12,239.37,90,11.97,8.85,19,1.33,3,True
Yokohama,126,415,656-596-7145,No,Yes,43,254.68,32,43.3,252.11,105,25.21,121.64,109,6.08,17.98,15,2.7,4,True
Saitama,842,408,982-767-5982,Yes,No,13,135.97,120,23.11,388.85,91,38.89,373.48,138,18.67,10.01,10,1.5,3,False
Kawasaki,431,415,151-611-5524,No,Yes,44,215.85,95,36.69,130.28,197,13.03,110.93,143,5.55,2.78,9,0.42,0,False
Kobe,936,408,514-957-6678,Yes,No,6,293.33,64,49.87,102.09,77,10.21,254.68,196,12.73,16.35,18,2.45,8,True
Yokohama,193,415,650-132-5329,Yes,No,9,4.69,148,0.8,243.59,88,24.36,384.58,36,19.23,2.81,8,0.42,5,False
Kawasaki,639,408,830-778-8454,Yes,Yes,44,209.11,190,35.55,286.64,137,28.66,326.58,106,16.33,0.43,11,0.06,6,False
Kyoto,68,408,538-243-6980,Yes,No,26,37.05,176,6.3,164.21,20,16.42,330.24,194,16.51,5.88,14,0.88,9,True
Saitama,6,510,155-787-8156,No,No,16,119.24,56,20.27,138.23,54,13.82,183.32,90,9.17,3.8,14,0.57,6,True
Kyoto,89,415,946-357-2183,Yes,No,10,314.62,46,53.49,114.08,112,11.41,309.06,159,15.45,8.57,14,1.29,4,True
Saitama,576,510,979-484-7495,Yes,No,43,239.7,72,40.75,107.14,13,10.71,252.64,31,12.63,0.66,5,0.1,9,True
Kawasaki,351,408,820-499-2867,Yes,No,20,17.73,171,3.01,20.88,58,2.09,220.99,28,11.05,16.63,10,2.49,7,True
Tokyo,419,510,955-460-7747,Yes,Yes,23,65.07,55,11.06,226.53,60,22.65,165.24,173,8.26,15.33,11,2.3,8,True
Nagoya,686,510,909-801-8057,No,No,29,5.54,178,0.94,243.68,184,24.37,52.17,147,2.61,5.11,0,0.77,4,False
Tokyo,706,408,130-994-1999,Yes,No,38,153.78,101,26.14,304.98,176,30.5,62.16,144,3.11,9.51,19,1.43,6,False
Nagoya,456,408,438-187-9557,No,Yes,31,125.3,157,21.3,215.4,82,21.54,229.07,100,11.45,2.19,18,0.33,1,True
Nagoya,548,510,771-497-1871,Yes,Yes,10,301.85,188,51.31,292.16,188,29.22,25.75,111,1.29,3.62,13,0.54,1,True
Yokohama,855,408,783-653-3423,Yes,No,8,85.0,76,14.45,273.8,30,27.38,155.08,42,7.75,5.25,19,0.79,2,False
Osaka,495,415,561-426-3043,No,Yes,31,51.86,155,8.82,251.41,136,25.14,203.51,28,10.18,7.51,0,1.13,9,False
Kobe,51,408,979-167-4390,No,Yes,16,58.27,184,9.91,176.6,119,17.66,77.01,29,3.85,2.03,13,0.3,7,False
Kobe,373,510,123-546-2353,Yes,No,14,285.43,72,48.52,168.48,53,16.85,233.3,166,11.66,11.46,10,1.72,0,False
Fukuoka,500,415,269-609-2437,Yes,No,21,355.27,53,60.4,372.29,70,37.23,65.84,85,3.29,18.1,18,2.72,5,False
Tokyo,297,415,842-264-7438,Yes,Yes,20,380.6,149,64.7,117.94,146,11.79,369.27,112,18.46,1.1,8,0.16,6,True
Nagoya,664,415,350-679-5605,No,No,41,380.68,155,64.72,257.77,58,25.78,296.52,80,14.83,15.42,12,2.31,9,False
Sapporo,234,415,795-689-3996,No,No,32,5.74,36,0.98,124.32,189,12.43,73.56,94,3.68,7.9,12,1.18,1,False
Yokohama,307,510,148-466-8802,No,Yes,46,135.99,131,23.12,54.76,162,5.48,97.22,31,4.86,10.8,6,1.62,4,False
Fukuoka,330,415,703-225-7432,Yes,No,43,236.37,171,40.18,289.76,133,28.98,92.18,138,4.61,14.76,6,2.21,1,False
Osaka,522,415,596-313-9250,Yes,Yes,34,279.58,114,47.53,339.7,9,33.97,236.26,12,11.81,16.41,14,2.46,6,False
Kyoto,449,415,927-788-5478,No,Yes,21,168.54,121,28.65,215.47,11,21.55,220.48,20,11.02,14.41,3,2.16,4,False
Kawasaki,386,510,625-963-4306,Yes,Yes,43,59.37,150,10.09,325.58,91,32.56,299.51,90,14.98,10.96,5,1.64,1,True
Sapporo,986,415,563-586-3399,No,No,43,396.7,1,67.44,387.28,73,38.73,175.52,33,8.78,6.7,10,1.0,2,True
Kyoto,956,408,497-283-7258,Yes,No,19,120.28,164,20.45,281.38,22,28.14,131.88,85,6.59,11.22,7,1.68,2,True
Saitama,562,408,104-370-9459,No,Yes,17,380.68,93,64.72,149.74,25,14.97,169.73,196,8.49,19.1,7,2.86,9,True
Nagoya,4,415,916-363-4458,No,Yes,3,375.36,96,63.81,2.44,8,0.24,245.74,133,12.29,6.23,18,0.93,6,False
Osaka,496,415,808-328-1833,No,No,7,267.15,134,45.42,357.26,150,35.73,129.84,138,6.49,12.29,19,1.84,4,False
Kyoto,165,415,802-798-2455,Yes,Yes,49,395.83,194,67.29,354.4,72,35.44,279.39,186,13.97,12.65,9,1.9,1,False
Kyoto,429,408,319-818-3579,No,No,18,283.25,87,48.15,218.68,186,21.87,243.2,20,12.16,1.83,3,0.27,5,True
Nagoya,342,510,349-934-2705,No,Yes,39,107.99,124,18.36,399.71,101,39.97,343.47,83,17.17,2.25,18,0.34,9,False
Osaka,894,408,411-682-5960,Yes,No,47,60.95,124,10.36,24.06,87,2.41,338.6,167,16.93,17.88,19,2.68,6,False
Tokyo,808,408,850-874-6794,No,No,28,26.72,68,4.54,361.91,53,36.19,181.74,106,9.09,14.33,1,2.15,9,True
Kyoto,387,408,396-976-4613,No,Yes,49,349.92,128,59.49,296.43,199,29.64,204.87,74,10.24,1.24,8,0.19,0,False
Saitama,500,408,158-474-4169,No,Yes,12,30.35,157,5.16,68.7,44,6.87,74.59,63,3.73,18.03,16,2.7,5,True
Kawasaki,663,510,287-329-3361,No,No,24,192.02,112,32.64,384.04,63,38.4,139.87,6,6.99,18.95,18,2.84,2,False
Kawasaki,318,408,316-178-1170,Yes,No,7,176.49,137,30.0,293.61,48,29.36,39.43,131,1.97,17.65,15,2.65,4,False
Kawasaki,55,408,505-192-7020,No,No,39,374.61,134,63.68,112.91,3,11.29,112.39,182,5.62,7.57,14,1.14,7,True
Saitama,913,408,729-996-5221,No,No,10,212.92,96,36.2,296.16,124,29.62,333.93,14,16.7,16.21,5,2.43,6,True
Kobe,635,408,376-567-2085,Yes,No,18,198.99,54,33.83,100.95,109,10.1,56.43,45,2.82,2.57,18,0.39,0,False
Kobe,230,408,304-162-5498,Yes,No,26,151.67,171,25.78,174.86,73,17.49,140.36,46,7.02,9.64,19,1.45,1,True
Fukuoka,534,510,193-941-8333,No,Yes,2,116.69,76,19.84,128.96,130,12.9,197.28,115,9.86,18.39,14,2.76,3,True
Nagoya,471,415,866-665-3294,No,Yes,19,285.28,91,48.5,121.52,25,12.15,71.61,89,3.58,4.73,8,0.71,3,False
Sapporo,762,408,787-948-4673,No,No,11,347.81,167,59.13,267.1,122,26.71,331.0,42,16.55,6.21,15,0.93,4,False
Nagoya,560,408,935-969-8245,No,Yes,46,191.33,168,32.53,172.28,132,17.23,66.89,164,3.34,19.9,3,2.98,9,True
Osaka,85,408,681-381-3480,No,No,0,370.24,95,62.94,103.73,97,10.37,217.56,73,10.88,16.83,4,2.52,2,True
Nagoya,190,408,405-993-9570,Yes,Yes,20,218.91,73,37.21,90.92,31,9.09,284.02,192,14.2,0.26,6,0.04,1,True
Yokohama,353,415,949-366-8422,Yes,Yes,35,100.04,146,17.01,109.42,128,10.94,116.8,25,5.84,12.57,2,1.89,1,True
Sapporo,885,415,857-845-3673,Yes,No,42,81.02,92,13.77,249.65,153,24.97,20.16,141,1.01,1.1,1,0.16,6,False
Saitama,13,510,450-602-9180,No,No,31,106.34,16,18.08,112.86,3,11.29,173.24,86,8.66,4.13,4,0.62,8,True
Nagoya,362,415,656-434-3677,Yes,No,33,247.18,1,42.02,242.7,52,24.27,62.77,49,3.14,6.06,9,0.91,7,False
Fukuoka,23,408,734-502-8052,No,Yes,22,390.88,176,66.45,265.8,170,26.58,302.34,99,15.12,16.28,17,2.44,9,True
Sapporo,278,415,558-182-4737,No,Yes,18,94.16,17,16.01,328.57,103,32.86,292.26,143,14.61,2.97,18,0.45,5,False
Tokyo,872,408,699-380-4280,Yes,No,4,177.2,7,30.12,361.24,85,36.12,142.03,183,7.1,17.66,14,2.65,7,True
Saitama,339,408,627-906-3509,Yes,No,39,284.16,192,48.31,258.38,59,25.84,254.26,38,12.71,9.98,5,1.5,1,True
Tokyo,301,415,922-152-7929,Yes,No,34,206.82,199,35.16,213.56,99,21.36,109.93,156,5.5,13.66,12,2.05,0,True
Osaka,107,408,414-666-1152,Yes,No,21,318.71,24,54.18,219.46,56,21.95,277.77,57,13.89,18.33,17,2.75,0,False
Fukuoka,328,415,104-850-4078,Yes,Yes,25,71.67,186,12.18,95.1,114,9.51,334.57,20,16.73,7.1,15,1.06,8,True
Kyoto,758,510,959-816-4127,No,Yes,46,185.11,130,31.47,337.19,159,33.72,366.61,130,18.33,12.68,14,1.9,8,True
Tokyo,842,415,145-706-7651,Yes,No,44,96.69,107,16.44,232.98,25,23.3,213.63,143,10.68,8.45,18,1.27,4,False
Fukuoka,514,510,850-416-2464,Yes,No,36,64.75,107,11.01,256.54,88,25.65,306.13,155,15.31,9.98,5,1.5,3,True
Tokyo,968,415,242-439-1775,Yes,No,30,376.42,72,63.99,208.08,60,20.81,217.18,172,10.86,12.15,4,1.82,9,True
Saitama,925,415,886-214-3557,No,No,40,133.95,179,22.77,99.26,56,9.93,200.55,84,10.03,3.63,0,0.54,5,True
Nagoya,803,510,485-238-6855,Yes,No,12,325.7,47,55.37,86.08,198,8.61,131.19,124,6.56,8.6,0,1.29,1,True
Kyoto,140,415,753-231-8742,Yes,No,7,30.76,187,5.23,155.32,198,15.53,338.77,176,16.94,3.12,14,0.47,6,False
Tokyo,608,415,619-341-4030,Yes,No,20,337.11,163,57.31,193.79,62,19.38,305.45,58,15.27,17.09,16,2.56,1,True
Sapporo,54,510,423-793-3585,Yes,Yes,8,292.36,36,49.7,304.09,122,30.41,285.84,26,14.29,1.26,13,0.19,2,False
Sapporo,205,408,858-687-3744,Yes,Yes,25,215.31,193,36.6,211.12,100,21.11,57.59,157,2.88,16.44,0,2.47,6,True
Osaka,717,408,532-305-3187,No,No,30,48.24,198,8.2,211.06,196,21.11,232.28,52,11.61,10.27,6,1.54,3,True
Yokohama,416,408,686-540-4014,Yes,Yes,9,79.69,184,13.55,29.32,20,2.93,199.99,174,10.0,0.18,8,0.03,7,True
Osaka,329,415,372-536-7075,Yes,No,32,242.6,161,41.24,276.66,108,27.67,207.89,125,10.39,0.22,17,0.03,4,False
Fukuoka,51,510,985-740-9494,Yes,No,45,203.5,194,34.6,273.87,191,27.39,11.32,185,0.57,7.32,12,1.1,1,False
Kawasaki,35,510,177-809-5281,No,Yes,1,317.52,32,53.98,329.47,182,32.95,147.33,93,7.37,5.45,3,0.82,9,False
Saitama,959,415,101-700-2879,Yes,No,28,43.76,142,7.44,109.84,153,10.98,39.65,128,1.98,1.16,5,0.17,5,True
Yokohama,241,510,563-491-7218,No,Yes,27,232.99,171,39.61,196.87,122,19.69,126.83,40,6.34,14.9,13,2.24,6,True
Kyoto,404,510,741-795-6893,No,No,21,377.68,111,64.21,321.07,69,32.11,332.74,98,16.64,14.17,6,2.13,0,False
Nagoya,502,510,562-150-9921,Yes,Yes,10,298.61,121,50.76,184.26,42,18.43,391.77,161,19.59,17.07,18,2.56,9,True
Yokohama,705,415,500-194-5623,No,Yes,8,253.61,175,43.11,338.94,102,33.89,319.02,81,15.95,13.48,12,2.02,0,False
Kawasaki,393,510,443-395-5076,No,No,24,306.09,174,52.04,357.57,65,35.76,188.52,105,9.43,10.56,15,1.58,5,False
Kawasaki,370,415,602-653-3078,No,No,6,46.99,72,7.99,134.74,138,13.47,273.5,153,13.68,12.75,1,1.91,8,False
Osaka,551,510,484-150-6833,No,Yes,23,162.37,105,27.6,5.51,160,0.55,300.33,88,15.02,9.25,18,1.39,7,True
Saitama,993,510,437-589-9007,Yes,Yes,5,44.38,197,7.54,326.77,176,32.68,95.18,196,4.76,6.89,1,1.03,1,False
Kawasaki,964,510,291-516-6640,No,No,14,349.91,186,59.48,21.78,100,2.18,182.78,20,9.14,4.3,16,0.64,6,True
Kobe,442,415,502-242-9799,Yes,No,23,217.34,41,36.95,200.89,96,20.09,25.12,169,1.26,2.43,10,0.36,5,False
Tokyo,701,408,293-313-1113,No,Yes,32,395.67,91,67.26,197.37,160,19.74,76.38,180,3.82,0.03,19,0.0,5,False
Kawasaki,752,510,855-748-4708,Yes,Yes,14,109.21,183,18.57,100.13,62,10.01,297.01,198,14.85,19.47,19,2.92,0,False
Saitama,840,415,630-891-7012,Yes,No,13,116.09,158,19.74,79.89,42,7.99,312.77,162,15.64,6.65,19,1.0,5,False
Kobe,641,510,688-437-8456,Yes,No,26,245.51,178,41.74,202.58,89,20.26,372.47,149,18.62,15.91,8,2.39,3,True
Kawasaki,397,415,282-220-6267,No,No,28,25.42,56,4.32,282.54,14,28.25,229.15,113,11.46,2.84,10,0.43,8,False
Fukuoka,326,510,303-119-5663,Yes,No,25,315.83,12,53.69,195.67,135,19.57,53.21,25,2.66,11.04,6,1.66,9,False
Tokyo,176,510,765-997-1520,No,No,18,27.92,108,4.75,236.38,114,23.64,146.4,180,7.32,6.42,4,0.96,0,True
Kyoto,907,415,982-230-8910,Yes,No,33,271.99,185,46.24,362.56,165,36.26,355.1,93,17.76,5.02,0,0.75,2,True
Tokyo,721,415,832-100-3174,Yes,No,38,235.38,166,40.01,265.06,130,26.51,378.22,165,18.91,12.11,19,1.82,7,True
Kobe,420,510,453-907-2690,Yes,Yes,23,179.37,46,30.49,214.32,112,21.43,392.29,100,19.61,9.03,4,1.35,3,False
Sapporo,175,408,143-241-2645,Yes,No,4,339.7,91,57.75,131.15,196,13.12,61.59,190,3.08,2.74,13,0.41,9,True
Yokohama,542,408,634-586-6962,Yes,Yes,36,111.32,1,18.92,341.65,19,34.16,29.02,173,1.45,15.19,12,2.28,1,False
Yokohama,988,415,723-553-7222,Yes,No,10,229.59,173,39.03,324.6,91,32.46,294.77,31,14.74,10.25,18,1.54,3,True
Kyoto,448,415,987-639-7702,No,Yes,19,287.81,54,48.93,359.51,152,35.95,361.4,4,18.07,16.28,15,2.44,1,False
Osaka,895,510,784-259-5021,No,No,6,346.3,45,58.87,72.35,171,7.24,283.62,68,14.18,5.15,9,0.77,2,False
Fukuoka,32,415,117-550-5779,No,No,13,56.88,117,9.67,317.95,46,31.8,380.39,32,19.02,1.17,6,0.18,6,False
Saitama,494,408,865-824-3464,No,Yes,31,297.41,192,50.56,10.08,150,1.01,279.05,101,13.95,6.58,0,0.99,4,True
Nagoya,982,408,283-575-9752,Yes,Yes,0,83.91,29,14.26,223.24,167,22.32,381.84,109,19.09,17.74,9,2.66,3,True
Osaka,214,408,423-913-9022,No,No,8,32.2,166,5.47,214.35,187,21.44,23.85,126,1.19,10.18,0,1.53,0,False
Nagoya,129,408,196-694-7897,Yes,Yes,45,363.47,152,61.79,16.81,156,1.68,312.69,17,15.63,3.25,1,0.49,4,False
Saitama,912,415,722-495-1293,No,Yes,45,179.4,53,30.5,105.42,84,10.54,349.76,195,17.49,0.39,17,0.06,1,False
Tokyo,995,408,437-902-1322,No,No,11,85.1,183,14.47,281.41,80,28.14,191.56,12,9.58,14.98,1,2.25,4,True
Kawasaki,315,510,909-791-8876,Yes,Yes,6,333.55,138,56.7,162.35,6,16.24,245.64,37,12.28,12.24,2,1.84,9,False
Sapporo,116,408,562-407-4391,No,Yes,41,378.67,55,64.37,191.28,14,19.13,263.09,26,13.15,4.79,14,0.72,3,True
Kobe,951,510,326-374-6394,Yes,Yes,24,20.77,196,3.53,105.17,183,10.52,98.59,3,4.93,10.55,1,1.58,2,True
Nagoya,294,415,808-715-8337,No,Yes,26,229.94,73,39.09,320.74,156,32.07,279.29,108,13.96,10.43,14,1.56,6,False
Tokyo,621,415,671-471-7614,Yes,Yes,17,22.91,7,3.89,321.4,117,32.14,94.0,118,4.7,13.36,6,2.0,4,False
Fukuoka,626,415,184-139-1966,Yes,Yes,28,194.86,181,33.13,295.78,104,29.58,367.69,65,18.38,8.34,14,1.25,5,True
Nagoya,544,415,366-618-1296,No,No,14,132.79,141,22.57,261.18,168,26.12,104.39,177,5.22,11.01,7,1.65,7,True
Kyoto,30,510,591-566-2240,No,No,26,38.25,106,6.5,79.56,81,7.96,262.51,14,13.13,19.69,5,2.95,8,False
Kawasaki,593,510,465-657-5591,No,Yes,9,165.35,127,28.11,172.29,10,17.23,141.61,195,7.08,0.59,7,0.09,4,False
Nagoya,80,510,805-471-4553,Yes,No,19,199.74,82,33.96,123.66,42,12.37,49.68,183,2.48,6.48,11,0.97,6,False
Kobe,418,415,965-472-6470,No,Yes,19,123.79,108,21.04,284.15,46,28.42,336.26,25,16.81,4.67,4,0.7,1,False
Saitama,954,408,695-296-4494,No,No,13,217.57,52,36.99,390.86,166,39.09,342.74,94,17.14,13.74,10,2.06,1,True
Kawasaki,443,510,971-305-7564,Yes,No,33,350.56,189,59.6,108.72,65,10.87,193.11,80,9.66,6.95,11,1.04,6,False
Osaka,833,408,929-772-8427,No,No,46,55.75,55,9.48,390.23,112,39.02,233.14,127,11.66,9.63,3,1.44,5,False
Tokyo,116,408,757-128-4190,No,No,43,395.05,20,67.16,102.69,170,10.27,267.91,5,13.4,14.55,15,2.18,9,False
Yokohama,571,415,360-673-4840,No,No,4,392.4,45,66.71,121.25,151,12.12,347.3,58,17.37,13.35,12,2.0,7,False
Tokyo,566,408,972-595-9767,Yes,Yes,26,383.15,18,65.14,237.62,130,23.76,323.96,179,16.2,0.76,12,0.11,5,True
Osaka,625,510,661-448-7393,Yes,Yes,13,242.78,89,41.27,130.45,59,13.04,187.09,193,9.35,12.93,7,1.94,0,True
Nagoya,990,415,388-611-8796,Yes,No,44,114.5,165,19.46,54.5,119,5.45,183.92,105,9.2,19.81,4,2.97,8,False
Kyoto,735,510,840-113-8653,No,Yes,21,19.57,120,3.33,148.19,66,14.82,395.16,107,19.76,13.69,8,2.05,3,True
Yokohama,584,408,261-214-2859,No,No,29,19.44,6,3.3,26.17,89,2.62,234.9,186,11.74,16.57,12,2.49,1,False
Sapporo,235,415,838-246-6695,No,Yes,25,211.39,191,35.94,35.49,6,3.55,182.77,183,9.14,8.91,5,1.34,8,True
Saitama,526,510,956-276-3885,Yes,Yes,38,374.51,57,63.67,215.39,171,21.54,77.33,178,3.87,1.37,17,0.21,9,False
Saitama,421,408,597-408-5874,No,Yes,38,366.78,145,62.35,164.47,1,16.45,257.0,0,12.85,13.93,9,2.09,4,False
Kawasaki,377,510,197-650-3824,Yes,Yes,6,313.78,174,53.34,20.47,180,2.05,294.44,68,14.72,1.91,11,0.29,2,True
Kawasaki,916,408,107-565-2036,Yes,Yes,4,6.03,35,1.03,118.57,160,11.86,105.76,151,5.29,13.23,2,1.98,9,False
Yokohama,83,408,930-164-4982,No,No,22,256.69,102,43.64,344.07,40,34.41,82.67,188,4.13,16.22,17,2.43,5,False
Kawasaki,236,510,488-523-1209,Yes,Yes,27,142.08,32,24.15,274.51,28,27.45,14.15,132,0.71,0.64,8,0.1,1,False
Kyoto,640,415,202-797-7828,Yes,No,34,358.53,45,60.95,212.14,4,21.21,215.27,6,10.76,9.28,18,1.39,6,True
Nagoya,130,510,607-813-5886,No,Yes,21,64.71,164,11.0,285.84,14,28.58,85.44,70,4.27,15.64,0,2.35,7,False
Kyoto,493,408,730-391-6040,Yes,Yes,27,384.11,126,65.3,159.12,141,15.91,318.84,36,15.94,1.5,15,0.22,1,True
Yokohama,581,408,684-613-7904,No,Yes,38,351.96,65,59.83,349.5,183,34.95,345.41,195,17.27,11.62,6,1.74,1,True
Kawasaki,959,408,273-268-2505,No,Yes,35,221.49,134,37.65,374.14,110,37.41,198.24,24,9.91,17.79,15,2.67,3,False
Tokyo,347,415,332-644-3307,Yes,No,11,37.06,54,6.3,282.69,86,28.27,299.5,186,14.98,3.52,14,0.53,5,False
Sapporo,879,510,443-135-8861,No,Yes,40,318.26,60,54.1,190.63,35,19.06,222.62,87,11.13,16.41,11,2.46,3,True
Nagoya,840,408,932-281-6396,No,Yes,40,151.33,190,25.73,366.6,146,36.66,153.19,157,7.66,5.81,9,0.87,3,False
Saitama,194,510,170-945-4357,No,Yes,15,8.33,139,1.42,134.39,1,13.44,19.05,178,0.95,12.8,12,1.92,9,True
Sapporo,905,415,154-490-5875,Yes,Yes,33,324.1,108,55.1,93.66,108,9.37,294.42,22,14.72,5.64,2,0.85,1,False
Saitama,853,510,832-488-1319,Yes,No,5,65.01,109,11.05,323.59,146,32.36,338.7,68,16.93,9.38,18,1.41,3,True
Nagoya,684,415,738-235-8010,No,Yes,33,273.38,82,46.47,398.47,131,39.85,343.82,149,17.19,18.12,4,2.72,1,True
Kobe,657,408,408-810-8340,No,No,2,319.68,36,54.35,39.94,15,3.99,261.81,194,13.09,2.88,9,0.43,7,True
Kobe,337,415,174-872-5890,Yes,No,3,129.04,135,21.94,322.08,147,32.21,366.79,152,18.34,5.55,13,0.83,3,False
Saitama,253,415,353-748-1385,No,Yes,25,131.8,182,22.41,29.7,48,2.97,112.78,34,5.64,13.54,15,2.03,5,False
Saitama,770,510,804-205-6856,Yes,Yes,27,97.13,106,16.51,87.55,78,8.76,247.91,136,12.4,7.05,2,1.06,2,False
Kawasaki,477,510,488-749-7805,No,No,10,196.34,132,33.38,320.24,65,32.02,399.77,130,19.99,2.11,16,0.32,2,True
Yokohama,235,510,863-175-3826,Yes,No,28,340.11,144,57.82,103.31,35,10.33,229.12,193,11.46,3.04,1,0.46,8,True
Yokohama,148,415,709-293-5964,Yes,No,16,0.87,51,0.15,31.49,124,3.15,281.81,57,14.09,19.97,4,3.0,9,True
Saitama,50,415,811-582-7577,No,No,17,94.02,160,15.98,202.96,81,20.3,10.72,27,0.54,19.96,16,2.99,4,True
Sapporo,756,415,328-819-3120,No,No,34,294.67,197,50.09,68.92,187,6.89,333.81,23,16.69,19.33,12,2.9,1,False
Kobe,155,408,890-111-4876,No,Yes,44,10.0,17,1.7,239.41,183,23.94,225.75,4,11.29,7.56,3,1.13,2,False
Tokyo,243,415,366-916-6944,No,Yes,4,23.14,93,3.93,73.83,94,7.38,344.8,126,17.24,8.95,11,1.34,4,True
Kawasaki,940,510,622-583-5999,Yes,Yes,8,181.12,39,30.79,371.25,139,37.12,134.01,153,6.7,13.18,4,1.98,1,True
Kawasaki,988,415,325-947-5398,No,Yes,11,247.47,155,42.07,166.54,107,16.65,55.38,5,2.77,18.61,16,2.79,7,False
Kobe,423,510,219-492-4934,Yes,Yes,34,190.86,168,32.45,157.36,92,15.74,51.34,57,2.57,6.4,11,0.96,4,True
Sapporo,485,408,354-559-1269,Yes,Yes,31,138.28,74,23.51,186.59,127,18.66,296.08,50,14.8,15.16,11,2.27,6,False
Osaka,88,408,174-257-3327,Yes,Yes,35,262.75,157,44.67,299.2,26,29.92,360.52,113,18.03,8.3,14,1.25,8,True
Kobe,186,408,263-755-6786,No,No,26,252.39,85,42.91,54.44,119,5.44,207.4,194,10.37,2.2,8,0.33,5,True
Yokohama,454,415,782-245-4937,No,Yes,19,32.62,71,5.55,82.64,9,8.26,23.97,55,1.2,6.27,0,0.94,8,False
Kobe,420,510,957-255-4105,Yes,No,19,41.39,33,7.04,118.3,95,11.83,106.32,158,5.32,1.33,6,0.2,7,False
Osaka,777,408,266-335-3374,No,Yes,33,266.77,118,45.35,369.5,148,36.95,359.42,166,17.97,11.72,5,1.76,2,False
Tokyo,433,510,939-370-4988,Yes,No,31,139.7,101,23.75,277.45,6,27.74,330.03,156,16.5,7.22,10,1.08,7,True
Tokyo,687,415,549-851-6259,No,Yes,27,15.75,13,2.68,74.88,79,7.49,142.57,67,7.13,7.76,4,1.16,9,True
Kawasaki,879,415,876-923-2447,No,No,16,6.68,86,1.14,109.87,73,10.99,242.09,109,12.1,14.58,3,2.19,1,False
Sapporo,486,510,451-223-6776,No,Yes,44,364.24,172,61.92,340.83,130,34.08,11.22,30,0.56,14.08,9,2.11,8,True
Kobe,305,415,782-472-7154,Yes,Yes,27,71.97,169,12.23,106.82,163,10.68,237.59,7,11.88,3.78,9,0.57,7,True
Kobe,901,408,506-109-2872,Yes,Yes,42,205.61,5,34.95,169.52,18,16.95,370.58,18,18.53,2.02,18,0.3,3,True
Osaka,867,415,141-177-6011,No,No,13,68.08,138,11.57,392.0,37,39.2,326.97,47,16.35,15.27,16,2.29,3,True
